UpdateCount,WinRate
1,100.000000
2,100.000000
3,100.000000
4,100.000000
5,100.000000
6,83.333333
7,85.714286
8,87.500000
9,77.777778
10,70.000000
11,63.636364
12,58.333333
13,61.538462
14,57.142857
15,60.000000
16,60.000000
17,62.500000
18,58.823529
19,55.555556
20,57.894737
21,55.000000
22,55.000000
23,52.380952
24,52.380952
25,52.380952
26,50.000000
27,47.826087
28,47.826087
29,47.826087
30,45.833333
31,44.000000
32,46.153846
33,46.153846
34,44.444444
35,44.444444
36,44.444444
37,42.857143
38,42.857143
39,42.857143
40,41.379310
41,40.000000
42,38.709677
43,40.625000
44,40.625000
45,39.393939
46,39.393939
47,38.235294
48,37.142857
49,38.888889
50,38.888889
51,38.888889
52,37.837838
53,39.473684
54,39.473684
55,38.461538
56,40.000000
57,40.000000
58,40.000000
59,41.463415
60,40.476190
61,40.476190
62,39.534884
63,39.534884
64,39.534884
65,38.636364
66,38.636364
67,38.636364
68,38.636364
69,37.777778
70,37.777778
71,39.130435
72,39.130435
73,39.130435
74,40.425532
75,40.425532
76,40.425532
77,39.583333
78,39.583333
79,39.583333
80,39.583333
81,38.775510
82,38.775510
83,38.000000
84,38.000000
85,38.000000
86,37.254902
87,36.538462
88,37.735849
89,37.735849
90,38.888889
91,40.000000
92,39.285714
93,39.285714
94,38.596491
95,37.931034
96,37.931034
97,37.931034
98,38.983051
99,38.983051
100,38.333333
101,38.333333
102,37.704918
103,37.704918
104,37.704918
105,37.096774
106,38.095238
107,39.062500
108,40.000000
109,40.909091
110,40.909091
111,40.298507
112,41.176471
113,41.176471
114,40.579710
115,40.579710
116,41.428571
117,41.428571
118,40.845070
119,40.845070
120,40.277778
121,40.277778
122,41.095890
123,41.095890
124,40.540541
125,40.540541
126,40.540541
127,40.000000
128,40.000000
129,40.000000
130,39.473684
131,39.473684
132,38.961039
133,38.961039
134,38.961039
135,38.461538
136,37.974684
137,37.974684
138,37.974684
139,38.750000
140,39.506173
141,39.506173
142,40.243902
143,40.243902
144,40.243902
145,39.759036
146,39.759036
147,39.759036
148,39.285714
149,39.285714
150,38.823529
151,38.372093
152,38.372093
153,39.080460
154,39.080460
155,38.636364
156,38.636364
157,38.202247
158,38.202247
159,37.777778
160,37.777778
161,37.362637
162,37.362637
163,38.043478
164,38.043478
165,38.043478
166,38.709677
167,39.361702
168,38.947368
169,38.947368
170,38.947368
171,38.541667
172,39.175258
173,39.795918
174,39.795918
175,40.404040
176,41.000000
177,41.000000
178,41.000000
179,40.594059
180,40.594059
181,40.196078
182,40.196078
183,39.805825
184,39.805825
185,39.423077
186,39.423077
187,39.047619
188,39.047619
189,38.679245
190,38.679245
191,38.679245
192,39.252336
193,38.888889
194,38.888889
195,38.888889
196,38.532110
197,38.532110
198,38.532110
199,39.090909
200,39.090909
201,39.639640
202,39.285714
203,39.285714
204,38.938053
205,38.938053
206,39.473684
207,39.473684
208,39.473684
209,40.000000
210,40.000000
211,40.000000
212,39.655172
213,39.655172
214,39.655172
215,40.170940
216,40.677966
217,40.677966
218,40.336134
219,40.336134
220,40.000000
221,40.000000
222,39.669421
223,39.344262
224,39.344262
225,39.024390
226,39.024390
227,38.709677
228,38.709677
