UpdateCount,WinRate
1,0.000000
2,50.000000
3,33.333333
4,25.000000
5,40.000000
6,50.000000
7,57.142857
8,57.142857
9,62.500000
10,55.555556
11,60.000000
12,60.000000
13,54.545455
14,58.333333
15,58.333333
16,53.846154
17,53.846154
18,50.000000
19,53.333333
20,56.250000
21,52.941176
22,55.555556
23,55.555556
24,52.631579
25,50.000000
26,50.000000
27,52.380952
28,54.545455
29,56.521739
30,54.166667
31,56.000000
32,56.000000
33,57.692308
34,55.555556
35,55.555556
36,53.571429
37,53.571429
38,53.571429
39,55.172414
40,56.666667
41,56.666667
42,54.838710
43,54.838710
44,54.838710
45,53.125000
46,51.515152
47,51.515152
48,50.000000
49,48.571429
50,47.222222
51,45.945946
52,47.368421
53,47.368421
54,47.368421
55,48.717949
56,50.000000
57,51.219512
58,51.219512
59,50.000000
60,50.000000
61,51.162791
62,52.272727
63,53.333333
64,53.333333
65,52.173913
66,51.063830
67,52.083333
68,51.020408
69,51.020408
70,50.000000
71,50.980392
72,50.980392
73,50.980392
74,51.923077
75,51.923077
76,51.923077
77,52.830189
78,53.703704
79,53.703704
80,52.727273
81,52.727273
82,52.727273
83,51.785714
84,51.785714
85,50.877193
86,51.724138
87,52.542373
88,51.666667
89,51.666667
90,50.819672
91,50.000000
92,50.000000
93,49.206349
94,50.000000
95,50.000000
96,49.230769
97,49.230769
98,49.230769
99,49.230769
100,48.484848
101,48.484848
102,48.484848
103,48.484848
104,47.761194
105,47.761194
106,47.761194
107,47.761194
108,47.058824
109,47.058824
110,46.376812
111,46.376812
112,47.142857
113,47.142857
114,47.887324
115,47.887324
116,48.611111
117,48.611111
118,47.945205
119,47.945205
120,48.648649
121,48.000000
122,48.000000
123,48.000000
124,47.368421
125,47.368421
126,48.051948
127,48.051948
128,48.717949
129,48.717949
130,49.367089
131,49.367089
132,50.000000
133,50.000000
134,50.617284
135,50.617284
136,50.617284
137,50.617284
138,50.000000
139,50.602410
140,51.190476
141,51.764706
142,52.325581
143,52.325581
144,52.325581
145,52.325581
146,52.873563
147,52.873563
148,52.272727
149,52.808989
150,52.808989
151,52.808989
152,52.222222
153,52.747253
154,52.173913
155,52.173913
156,52.173913
157,52.173913
158,51.612903
159,52.127660
160,52.127660
161,52.631579
162,53.125000
163,53.125000
164,52.577320
165,52.577320
166,53.061224
167,53.535354
168,53.535354
169,53.535354
170,53.000000
171,53.465347
172,53.465347
173,52.941176
174,53.398058
175,53.398058
176,53.846154
177,53.846154
178,53.333333
179,52.830189
180,52.830189
181,52.336449
182,51.851852
183,51.851852
184,51.376147
185,51.376147
186,51.818182
187,52.252252
188,52.678571
189,52.678571
190,52.678571
191,53.097345
192,53.097345
193,53.097345
194,53.097345
195,52.631579
196,52.631579
197,52.631579
198,52.173913
199,52.173913
200,51.724138
201,51.724138
202,51.724138
203,51.724138
204,51.282051
205,51.282051
206,50.847458
207,51.260504
208,51.260504
209,51.260504
210,51.666667
211,51.666667
212,51.666667
213,51.239669
214,51.239669
215,51.239669
216,50.819672
217,50.819672
218,50.406504
219,50.406504
220,50.406504
221,50.000000
222,50.000000
223,49.600000
224,49.600000
225,49.206349
226,49.206349
227,48.818898
228,48.818898
229,48.818898
230,48.437500
231,48.437500
232,48.837209
233,49.230769
234,48.854962
235,48.854962
236,48.854962
237,48.484848
238,48.872180
239,48.507463
240,48.888889
241,49.264706
242,49.635036
243,49.275362
244,49.275362
245,48.920863
246,48.920863
247,49.285714
248,49.645390
249,49.645390
250,49.645390
251,49.295775
252,48.951049
253,48.951049
254,49.305556
255,49.305556
256,48.965517
257,48.965517
258,49.315068
259,49.659864
260,49.659864
261,49.324324
262,49.324324
263,48.993289
264,49.333333
265,49.333333
266,49.333333
267,49.006623
268,49.006623
269,49.006623
270,48.684211
271,48.684211
272,48.366013
273,48.366013
274,48.051948
275,48.387097
276,48.387097
277,48.717949
278,49.044586
279,49.367089
