UpdateCount,WinRate
1,0.000000
2,0.000000
3,0.000000
4,25.000000
5,20.000000
6,20.000000
7,16.666667
8,14.285714
9,25.000000
10,25.000000
11,25.000000
12,33.333333
13,33.333333
14,30.000000
15,30.000000
16,30.000000
17,27.272727
18,25.000000
19,30.769231
20,35.714286
21,33.333333
22,33.333333
23,31.250000
24,31.250000
25,29.411765
26,29.411765
27,27.777778
28,27.777778
29,31.578947
30,31.578947
31,30.000000
32,33.333333
33,31.818182
34,34.782609
35,34.782609
36,33.333333
37,33.333333
38,36.000000
39,34.615385
40,33.333333
41,33.333333
42,32.142857
43,34.482759
44,34.482759
45,33.333333
46,33.333333
47,35.483871
48,34.375000
49,36.363636
50,38.235294
51,38.235294
52,40.000000
53,40.000000
54,38.888889
55,38.888889
56,37.837838
57,36.842105
58,36.842105
59,38.461538
60,37.500000
61,37.500000
62,39.024390
63,38.095238
64,39.534884
65,40.909091
66,40.909091
67,42.222222
68,42.222222
69,43.478261
70,43.478261
71,43.478261
72,42.553191
73,41.666667
74,41.666667
75,40.816327
76,42.000000
77,43.137255
78,43.137255
79,42.307692
80,43.396226
81,44.444444
82,44.444444
83,43.636364
84,44.642857
85,43.859649
86,43.103448
87,44.067797
88,44.067797
89,45.000000
90,44.262295
91,44.262295
92,43.548387
93,42.857143
94,42.857143
95,42.857143
96,42.187500
97,43.076923
98,42.424242
99,41.791045
100,41.176471
101,41.176471
102,41.176471
103,42.028986
104,42.028986
105,42.857143
106,42.857143
107,42.857143
108,42.253521
109,41.666667
110,42.465753
111,43.243243
112,43.243243
113,42.666667
114,42.666667
115,43.421053
116,44.155844
117,44.155844
118,43.589744
119,43.037975
120,43.750000
121,43.750000
122,43.209877
123,42.682927
124,43.373494
125,42.857143
126,42.857143
127,42.352941
128,42.352941
129,43.023256
130,42.528736
131,42.045455
132,42.696629
133,43.333333
134,43.333333
135,42.857143
136,42.857143
137,43.478261
138,44.086022
139,43.617021
140,43.157895
141,42.708333
142,42.268041
143,42.268041
144,42.857143
145,42.857143
146,42.424242
147,42.424242
148,42.000000
149,42.000000
150,41.584158
151,41.176471
152,40.776699
153,41.346154
154,41.346154
155,40.952381
156,40.952381
157,41.509434
158,41.121495
159,40.740741
160,41.284404
161,40.909091
162,40.909091
163,40.540541
164,40.178571
165,39.823009
166,39.823009
167,39.473684
168,39.473684
169,39.130435
170,39.655172
171,40.170940
172,39.830508
173,39.830508
174,39.495798
175,40.000000
176,40.000000
177,40.000000
178,39.669421
179,39.344262
180,39.344262
181,39.024390
182,39.024390
183,38.709677
184,39.200000
185,38.888889
186,39.370079
187,39.843750
188,39.534884
189,39.230769
190,39.230769
191,39.694656
192,39.694656
193,39.393939
194,39.849624
195,39.552239
196,39.259259
197,39.705882
198,40.145985
199,39.855072
200,39.855072
201,39.568345
202,39.285714
203,39.716312
204,40.140845
205,40.559441
206,40.972222
207,40.689655
208,41.095890
209,40.816327
210,41.216216
211,41.610738
212,41.333333
213,41.059603
214,40.789474
215,41.176471
216,41.558442
217,41.290323
218,41.025641
219,40.764331
220,41.139241
221,40.880503
222,40.880503
223,40.625000
224,40.625000
225,40.372671
226,40.123457
227,39.877301
228,39.634146
229,40.000000
230,39.759036
231,39.520958
232,39.520958
233,39.520958
234,39.285714
235,39.053254
236,38.823529
237,38.596491
238,38.596491
239,38.372093
240,38.150289
241,38.505747
242,38.285714
243,38.068182
244,37.853107
245,38.202247
246,38.547486
247,38.333333
248,38.333333
249,38.121547
250,38.461538
251,38.251366
252,38.043478
253,38.378378
254,38.709677
255,38.502674
256,38.502674
257,38.297872
258,38.095238
259,38.095238
260,37.894737
261,38.219895
262,38.020833
263,37.823834
264,38.144330
265,37.948718
266,37.948718
267,37.755102
268,38.071066
269,37.878788
270,37.878788
271,37.688442
272,38.000000
273,37.810945
274,38.118812
275,38.423645
276,38.235294
277,38.536585
278,38.349515
279,38.647343
280,38.461538
281,38.755981
282,38.571429
283,38.571429
284,38.862559
285,39.150943
286,39.150943
287,38.967136
288,38.785047
289,39.069767
290,38.888889
291,38.888889
292,38.709677
293,38.532110
294,38.812785
295,38.636364
296,38.914027
297,38.738739
298,39.013453
299,38.839286
300,38.839286
301,39.111111
302,38.938053
303,38.766520
304,38.596491
305,38.596491
306,38.864629
307,39.130435
308,38.961039
309,38.961039
310,38.793103
311,39.055794
312,39.316239
313,39.316239
314,39.148936
315,39.406780
316,39.240506
317,39.075630
318,39.330544
319,39.166667
320,39.004149
321,39.256198
322,39.094650
323,39.344262
324,39.183673
325,39.024390
326,39.271255
327,39.112903
328,38.955823
329,39.200000
330,39.200000
331,39.043825
332,38.888889
333,38.888889
334,38.735178
335,38.976378
336,39.215686
337,39.062500
338,39.299611
339,39.534884
340,39.382239
341,39.615385
342,39.463602
343,39.312977
344,39.312977
345,39.312977
346,39.312977
347,39.543726
348,39.772727
349,40.000000
350,39.849624
351,39.849624
352,40.074906
353,40.074906
354,39.925373
355,40.148699
356,40.000000
357,40.000000
358,39.852399
359,39.852399
360,39.705882
361,39.926740
362,39.926740
363,39.781022
364,40.000000
365,40.000000
366,40.217391
367,40.072202
368,40.287770
369,40.287770
370,40.501792
371,40.357143
372,40.357143
373,40.213523
374,40.425532
375,40.282686
376,40.140845
377,40.350877
378,40.350877
379,40.209790
380,40.209790
381,40.069686
382,39.930556
383,39.792388
384,39.792388
385,39.655172
386,39.862543
387,39.726027
388,39.590444
389,39.590444
390,39.795918
391,40.000000
392,40.202703
393,40.067340
394,40.268456
395,40.468227
396,40.468227
397,40.333333
398,40.199336
399,40.397351
400,40.264026
401,40.131579
402,40.000000
403,39.869281
404,40.065147
405,40.259740
406,40.259740
407,40.129450
408,40.000000
409,40.192926
410,40.384615
411,40.384615
412,40.255591
413,40.127389
414,40.127389
415,40.000000
416,40.000000
417,40.189873
418,40.378549
419,40.566038
420,40.438871
421,40.312500
422,40.186916
423,40.062112
424,39.938080
425,39.814815
426,39.814815
427,39.692308
428,39.570552
429,39.449541
430,39.449541
431,39.634146
432,39.513678
433,39.513678
434,39.696970
435,39.577039
436,39.457831
437,39.639640
438,39.820359
439,39.701493
440,39.880952
441,40.059347
442,39.940828
443,39.940828
444,39.823009
445,39.823009
446,39.705882
447,39.589443
448,39.766082
449,39.941691
450,39.825581
451,39.710145
452,39.884393
453,39.884393
454,40.057637
455,39.942529
456,39.942529
457,39.942529
458,39.828080
459,40.000000
460,40.000000
461,39.886040
462,39.772727
463,39.943343
464,40.112994
465,40.000000
466,39.887640
467,39.887640
468,39.775910
469,39.775910
470,39.775910
471,39.944134
472,39.832869
473,39.832869
474,39.722222
475,39.889197
476,39.779006
477,39.944904
478,39.835165
479,39.835165
480,39.726027
481,39.890710
482,40.054496
483,39.945652
484,40.108401
485,40.108401
486,40.000000
487,39.892183
488,39.784946
489,39.678284
490,39.572193
491,39.466667
492,39.627660
493,39.522546
494,39.682540
495,39.841689
496,39.736842
497,39.632546
498,39.528796
499,39.686684
500,39.583333
501,39.480519
502,39.378238
503,39.276486
504,39.276486
505,39.175258
506,39.074550
507,38.974359
508,38.874680
509,39.030612
510,38.931298
511,39.086294
512,39.240506
513,39.393939
514,39.393939
515,39.294710
516,39.195980
517,39.348371
518,39.250000
519,39.401496
520,39.552239
521,39.702233
522,39.603960
523,39.753086
524,39.655172
525,39.803440
526,39.705882
527,39.608802
528,39.756098
529,39.659367
530,39.563107
531,39.709443
532,39.613527
533,39.759036
534,39.663462
535,39.808153
536,39.712919
537,39.856802
538,39.761905
539,39.904988
540,40.047393
541,40.189125
542,40.330189
543,40.235294
544,40.140845
545,40.281030
546,40.186916
547,40.093240
548,40.232558
549,40.371230
550,40.277778
551,40.415704
552,40.322581
553,40.459770
554,40.459770
555,40.366972
556,40.274600
557,40.410959
558,40.546697
559,40.681818
560,40.816327
561,40.950226
562,40.857788
563,40.990991
564,41.123596
565,41.031390
566,40.939597
567,41.071429
568,40.979955
569,41.111111
570,41.111111
571,41.019956
572,40.929204
573,40.929204
574,40.838852
575,40.748899
576,40.879121
577,41.008772
578,40.919037
579,40.919037
580,40.829694
581,40.740741
582,40.740741
583,40.652174
584,40.563991
585,40.563991
586,40.476190
587,40.388769
588,40.517241
589,40.430108
590,40.557940
591,40.685225
592,40.598291
593,40.724947
594,40.851064
595,40.764331
596,40.677966
597,40.677966
598,40.803383
599,40.928270
600,41.052632
601,40.966387
602,40.966387
603,40.880503
604,40.794979
605,40.918580
606,40.833333
607,40.748441
608,40.663900
609,40.579710
610,40.495868
611,40.618557
612,40.740741
613,40.657084
614,40.573770
615,40.573770
616,40.490798
617,40.408163
618,40.325866
619,40.243902
620,40.162272
621,40.283401
622,40.404040
623,40.322581
624,40.442656
625,40.562249
626,40.480962
627,40.400000
628,40.319361
629,40.239044
630,40.357853
631,40.277778
632,40.396040
633,40.396040
634,40.513834
635,40.513834
636,40.433925
637,40.433925
638,40.354331
639,40.275049
640,40.196078
641,40.117417
642,40.234375
643,40.350877
644,40.272374
645,40.194175
646,40.310078
647,40.232108
648,40.232108
649,40.347490
650,40.269750
651,40.384615
652,40.307102
653,40.229885
654,40.152964
655,40.076336
656,40.000000
657,40.114068
658,40.037951
659,39.962121
660,40.075614
661,40.000000
662,39.924670
663,40.037594
664,40.150094
665,40.074906
666,40.074906
667,40.000000
668,40.111940
669,40.223464
670,40.334572
671,40.259740
672,40.185185
673,40.295749
674,40.221402
675,40.147330
676,40.073529
677,40.000000
678,39.926740
679,40.036563
680,40.145985
681,40.072860
682,40.000000
683,40.108893
684,40.217391
685,40.325497
686,40.252708
687,40.180180
688,40.107914
689,40.035907
690,39.964158
691,39.964158
692,39.892665
693,39.821429
694,39.928699
695,39.857651
696,39.786856
697,39.716312
698,39.646018
699,39.575972
700,39.506173
701,39.436620
702,39.436620
703,39.367311
704,39.473684
705,39.404553
706,39.510490
707,39.616056
708,39.721254
709,39.652174
710,39.756944
711,39.861352
712,39.792388
713,39.896373
714,40.000000
715,39.931153
716,40.034364
717,40.137221
718,40.239726
719,40.341880
720,40.273038
721,40.204429
722,40.136054
723,40.237691
724,40.169492
725,40.101523
726,40.033784
727,40.134907
728,40.067340
729,40.000000
730,40.100671
731,40.100671
732,40.100671
733,40.201005
734,40.301003
735,40.233723
736,40.333333
737,40.266223
738,40.365449
739,40.298507
740,40.231788
741,40.165289
742,40.264026
743,40.362438
744,40.460526
745,40.558292
746,40.491803
747,40.589198
748,40.522876
749,40.456770
750,40.553746
751,40.553746
752,40.487805
753,40.584416
754,40.518639
755,40.453074
756,40.549273
757,40.483871
758,40.418680
759,40.353698
760,40.288925
761,40.224359
762,40.224359
763,40.224359
764,40.160000
765,40.255591
766,40.255591
767,40.191388
768,40.191388
769,40.127389
770,40.222576
771,40.158730
772,40.095087
773,40.189873
774,40.284360
775,40.378549
776,40.314961
777,40.408805
778,40.345369
779,40.438871
780,40.532081
781,40.468750
782,40.405616
783,40.498442
784,40.590980
785,40.590980
786,40.527950
787,40.465116
788,40.557276
789,40.494590
790,40.586420
791,40.523883
792,40.461538
793,40.552995
794,40.490798
795,40.428790
796,40.519878
797,40.519878
798,40.458015
799,40.548780
800,40.487062
801,40.577508
802,40.515933
803,40.454545
804,40.544629
805,40.483384
806,40.483384
807,40.422323
808,40.422323
809,40.361446
810,40.300752
811,40.300752
812,40.240240
813,40.179910
814,40.269461
815,40.209268
816,40.149254
817,40.089419
818,40.178571
819,40.267459
820,40.356083
821,40.444444
822,40.444444
823,40.444444
824,40.384615
825,40.472674
826,40.472674
827,40.472674
828,40.560472
829,40.648012
830,40.648012
831,40.588235
832,40.675477
833,40.675477
834,40.762463
835,40.702782
836,40.789474
837,40.875912
838,40.816327
839,40.756914
840,40.697674
841,40.638607
842,40.724638
843,40.665702
844,40.751445
845,40.836941
846,40.922190
847,40.863309
848,40.804598
849,40.746055
850,40.830946
851,40.772532
852,40.772532
853,40.857143
854,40.857143
855,40.798859
856,40.740741
857,40.682788
858,40.767045
859,40.851064
860,40.934844
861,40.876945
862,40.960452
863,40.960452
864,41.043724
865,41.043724
866,41.126761
867,41.209564
868,41.151685
869,41.093969
870,41.036415
871,40.979021
872,40.979021
873,40.921788
874,40.864714
875,40.807799
876,40.890125
877,40.972222
878,40.915395
879,40.858726
880,40.802213
881,40.883978
882,40.827586
883,40.909091
884,40.909091
885,40.852820
886,40.934066
887,40.877915
888,40.821918
889,40.766074
890,40.710383
891,40.654843
892,40.735695
893,40.735695
894,40.680272
895,40.625000
896,40.569878
897,40.650407
898,40.595399
899,40.675676
900,40.620783
901,40.620783
902,40.700809
903,40.646030
904,40.646030
905,40.725806
906,40.671141
907,40.671141
908,40.750670
909,40.829987
910,40.909091
911,40.854473
912,40.933333
913,40.878828
914,40.824468
915,40.903054
916,40.848806
917,40.794702
918,40.873016
919,40.819022
920,40.897098
921,40.843215
922,40.789474
923,40.735874
924,40.682415
925,40.629096
926,40.706806
927,40.784314
928,40.861619
929,40.938722
930,40.885417
931,40.885417
932,40.832250
933,40.909091
934,40.856031
935,40.803109
936,40.879690
937,40.826873
938,40.903226
939,40.850515
940,40.850515
941,40.926641
942,40.874036
943,40.821566
944,40.897436
945,40.897436
946,40.973111
947,41.048593
948,41.048593
949,40.996169
950,40.996169
951,40.943878
952,41.019108
953,41.094148
954,41.041931
955,41.116751
956,41.116751
957,41.064639
958,41.012658
959,40.960809
960,40.909091
961,40.983607
962,40.931990
963,41.006289
964,40.954774
965,41.028858
966,40.977444
967,40.926158
968,40.875000
969,40.948814
970,40.897756
971,40.971357
972,40.920398
973,40.993789
974,40.942928
975,41.016109
976,40.965347
977,41.038319
978,40.987654
979,41.060419
980,41.133005
981,41.205412
982,41.277641
983,41.226994
984,41.299020
985,41.248470
986,41.320293
987,41.320293
988,41.269841
989,41.341463
990,41.291108
991,41.240876
992,41.240876
993,41.312272
994,41.312272
995,41.383495
996,41.333333
997,41.333333
998,41.283293
999,41.233374
1000,41.183575
