Episode,Mean Reward
0,1.3817940608703454
12000,1.582042436378314
24000,1.7361438175900639
36000,1.8437124350985956
48000,2.0781944941951784
60000,2.3353592008252724
72000,2.506025347685853
84000,2.792637766082118
96000,3.009965571188928
108000,3.3548219297467456
